url,라벨_기준,판정_기준,ACCS_기준,sufficiency_기준,라벨_최대,판정_최대,ACCS_최대,sufficiency_최대
https://prod.danawa.com/info/?pcode=122628176,정상,Normal,51.79,0.1219,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=75855938,정상,Normal,54.84,0.4342,정상,Normal,60.53,0.4935
https://prod.danawa.com/info/?pcode=65304779,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=122621732,정상,Normal,50.03,0.0903,정상,Normal,57.25,0.1349
https://prod.danawa.com/info/?pcode=92969183,정상,Normal,47.9,0.0,정상,Normal,52.56,0.0
https://prod.danawa.com/info/?pcode=99555224,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=65305520,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=78982958,정상,Normal,45.97,0.0,정상,Normal,50.42,0.0
https://prod.danawa.com/info/?pcode=106484915,정상,Normal,46.88,0.0784,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=72227609,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=78981236,정상,Credible,74.28,0.7942,정상,Credible,74.65,0.7942
https://prod.danawa.com/info/?pcode=58849853,정상,Normal,48.44,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=106221245,정상,Normal,38.33,0.0,정상,Normal,38.33,0.0
https://prod.danawa.com/info/?pcode=76550729,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=96985352,정상,Normal,45.97,0.0,정상,Normal,50.42,0.0
https://prod.danawa.com/info/?pcode=122617414,정상,Washing,0.0,0.0,정상,Normal,53.95,0.1288
https://prod.danawa.com/info/?pcode=65305298,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=108693758,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=100622369,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=92891300,정상,Normal,47.9,0.0,정상,Normal,52.56,0.0
https://prod.danawa.com/info/?pcode=93865100,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=122622118,정상,Credible,71.95,0.8186,정상,Credible,71.79,0.8261
https://prod.danawa.com/info/?pcode=106721876,정상,Normal,48.14,0.0,정상,Normal,49.36,0.0
https://prod.danawa.com/info/?pcode=94934750,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=96985325,정상,Normal,45.97,0.0,정상,Normal,50.42,0.0
https://prod.danawa.com/info/?pcode=49164068,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=108462782,정상,Normal,47.91,0.0787,정상,Normal,55.72,0.1322
https://prod.danawa.com/info/?pcode=19996307,정상,Normal,51.79,0.1219,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=108693731,정상,Normal,43.31,0.0693,정상,Normal,43.31,0.0693
https://prod.danawa.com/info/?pcode=108693770,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=61442063,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=91041734,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=91041722,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=78845099,정상,Normal,51.79,0.1219,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=96649013,정상,Credible,71.91,0.8186,정상,Credible,71.75,0.8261
https://prod.danawa.com/info/?pcode=108363986,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=106721318,정상,Credible,72.95,0.7941,정상,Credible,73.32,0.7941
https://prod.danawa.com/info/?pcode=122622067,정상,Credible,71.95,0.8186,정상,Credible,71.79,0.8261
https://prod.danawa.com/info/?pcode=122622648,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=103451483,정상,Credible,71.46,0.7734,정상,Credible,72.34,0.7849
https://prod.danawa.com/info/?pcode=96369167,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=71964662,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=71964674,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=76550540,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=108406961,정상,Credible,71.92,0.8186,정상,Credible,71.77,0.8261
https://prod.danawa.com/info/?pcode=106749650,정상,Credible,72.95,0.7941,정상,Credible,73.32,0.7941
https://prod.danawa.com/info/?pcode=95203406,정상,Credible,71.91,0.8186,정상,Credible,71.75,0.8261
https://prod.danawa.com/info/?pcode=77965100,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=95200079,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=96368726,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=77964938,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=99733253,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=85605692,정상,Normal,56.17,0.4681,정상,Normal,60.9,0.4988
https://prod.danawa.com/info/?pcode=108229415,정상,Normal,50.03,0.0903,정상,Normal,57.25,0.1349
https://prod.danawa.com/info/?pcode=106704317,정상,Normal,46.88,0.0784,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=108463673,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=105182138,정상,Normal,47.91,0.0787,정상,Normal,55.72,0.1322
https://prod.danawa.com/info/?pcode=61442072,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=91562312,정상,Credible,74.28,0.7942,정상,Credible,74.65,0.7942
https://prod.danawa.com/info/?pcode=122618339,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=108693824,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=103453760,정상,Credible,74.28,0.7942,정상,Credible,74.65,0.7942
https://prod.danawa.com/info/?pcode=75932513,정상,Normal,48.44,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=122618348,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=106702052,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=78532109,정상,Credible,71.91,0.8186,정상,Credible,71.75,0.8261
https://prod.danawa.com/info/?pcode=47489429,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=20260628,정상,Normal,51.79,0.1219,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=75541439,워싱,Normal,49.83,0.0,워싱,Normal,51.11,0.0
https://prod.danawa.com/info/?pcode=108228755,정상,Suspected,0.0,0.0,정상,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=11715023,정상,Normal,57.19,0.4536,정상,Normal,62.27,0.5006
