,브라운,IO5,O,65.0,34.16,0.0,50.0,X,55.13,AI 워싱 상품 (Washing),근거 부족 (워싱 의심),높음,2026-06-08 17:03:09
,"엘지전자,LG전자",SQ06FA1WDS,O,65.0,34.12,0.0,75.0,O,62.26,워싱 의심 (Suspected),검토 필요 (일부 증거 확인),보통,2026-06-08 17:35:05
,"엘지전자,LG전자",SQ06FA1WDS,O,65.0,34.12,0.0,75.0,O,62.26,워싱 의심 (Suspected),검토 필요 (일부 증거 확인),보통,2026-06-08 21:59:08
,"엘지전자,LG전자",SQ06FA1WDS,O,65.0,34.12,0.0,75.0,O,62.26,워싱 의심 (Suspected),검토 필요 (일부 증거 확인),보통,2026-06-08 22:02:12
,"엘지전자,LG전자",SQ06FA1WDS,O,65.0,34.12,0.0,75.0,O,62.26,워싱 의심 (Suspected),검토 필요 (일부 증거 확인),보통,2026-06-09 09:14:36
